ticker,name,type,sector,industry,country,website,description
CAT,Caterpillar Inc.,STOCK,Industrials,Farm & Heavy Construction Machinery,United States,https://www.caterpillar.com,Caterpillar Inc. manufactures and sells construction and mining equipment diesel and natural gas engines industrial gas turbines and diesel-electric locomotives worldwide.
GS,The Goldman Sachs Group Inc.,STOCK,Financial Services,Capital Markets,United States,https://www.goldmansachs.com,The Goldman Sachs Group Inc. a financial institution provides a range of financial services for corporations financial institutions governments and individuals worldwide.
MMM,3M Company,STOCK,Industrials,Conglomerates,United States,https://www.3m.com,3M Company operates as a diversified technology company worldwide.
UNH,UnitedHealth Group Incorporated,STOCK,Healthcare,Healthcare Plans,United States,https://www.unitedhealthgroup.com,UnitedHealth Group Incorporated operates as a diversified health care company in the United States.
LLY,Eli Lilly and Company,STOCK,Healthcare,Drug Manufacturers - General,United States,https://www.lilly.com,Eli Lilly and Company discovers develops and markets human pharmaceuticals worldwide.
PFE,Pfizer Inc.,STOCK,Healthcare,Drug Manufacturers - General,United States,https://www.pfizer.com,Pfizer Inc. discovers develops manufactures markets distributes and sells biopharmaceutical products worldwide.
UNP,Union Pacific Corporation,STOCK,Industrials,Railroads,United States,https://www.up.com,Union Pacific Corporation through its subsidiary Union Pacific Railroad Company operates in the railroad business in the United States.
T,AT&T Inc.,STOCK,Communication Services,Telecom Services,United States,https://www.att.com,AT&T Inc. provides telecommunications and technology services worldwide.
VZ,Verizon Communications Inc.,STOCK,Communication Services,Telecom Services,United States,https://www.verizon.com,Verizon Communications Inc. offers communications technology information and entertainment products and services to consumers businesses and government entities worldwide.
BTC-USD,Bitcoin USD,CRYPTO,,,,,Bitcoin is a decentralized digital currency without a central bank or single administrator that can be sent from user to user on the peer-to-peer bitcoin network without intermediaries.
ETH-USD,Ethereum USD,CRYPTO,,,,,Ethereum is a decentralized open-source blockchain system featuring smart contract functionality. Ether is the native cryptocurrency of the platform.
BNB-USD,BNB USD,CRYPTO,,,,,BNB is the cryptocurrency issued by Binance exchange and trades with the BNB symbol. BNB powers the BNB Chain ecosystem.
XRP-USD,XRP USD,CRYPTO,,,,,XRP is a digital asset built for payments. It is the native digital asset on the XRP Ledger—an open-source permissionless and decentralized blockchain technology.
SOL-USD,Solana USD,CRYPTO,,,,,Solana is a high-performance blockchain supporting builders around the world creating crypto apps that scale. SOL is the native token of the Solana blockchain.
ADA-USD,Cardano USD,CRYPTO,,,,,Cardano is a proof-of-stake blockchain platform that says its goal is to allow changemakers innovators and visionaries to bring about positive global change.
DOGE-USD,Dogecoin USD,CRYPTO,,,,,Dogecoin is a cryptocurrency featuring a likeness of the Shiba Inu dog from the Doge Internet meme as its logo.
AVAX-USD,Avalanche USD,CRYPTO,,,,,Avalanche is an open programmable smart contracts platform for decentralized applications. AVAX is the native token of the platform.
DOT-USD,Polkadot USD,CRYPTO,,,,,Polkadot is a next-generation blockchain protocol connecting multiple specialized blockchains into one unified network.
MATIC-USD,Polygon USD,CRYPTO,,,,,Polygon (formerly Matic Network) is a Layer 2 scaling solution that achieves scale by utilizing sidechains for off-chain computation.
LINK-USD,Chainlink USD,CRYPTO,,,,,Chainlink is a decentralized oracle network that provides real-world data to smart contracts on the blockchain.
UNI-USD,Uniswap USD,CRYPTO,,,,,Uniswap is a decentralized trading protocol known for its role in facilitating automated trading of decentralized finance tokens.
ATOM-USD,Cosmos USD,CRYPTO,,,,,Cosmos is a decentralized network of independent parallel blockchains each powered by BFT consensus algorithms like Tendermint.
LTC-USD,Litecoin USD,CRYPTO,,,,,Litecoin is a peer-to-peer cryptocurrency created by Charlie Lee. It was created based on the Bitcoin protocol but differs in terms of the hashing algorithm used.
SPY,SPDR S&P 500 ETF Trust,STOCK,Financial Services,Exchange Traded Fund,United States,,SPDR S&P 500 ETF Trust seeks to provide investment results that before expenses correspond generally to the price and yield performance of the S&P 500 Index.
QQQ,Invesco QQQ Trust,STOCK,Financial Services,Exchange Traded Fund,United States,,Invesco QQQ Trust Series I is an exchange-traded fund that tracks the Nasdaq-100 Index.
IWM,iShares Russell 2000 ETF,STOCK,Financial Services,Exchange Traded Fund,United States,,iShares Russell 2000 ETF seeks to track the investment results of an index composed of small-capitalization U.S. equities.
VTI,Vanguard Total Stock Market ETF,STOCK,Financial Services,Exchange Traded Fund,United States,,Vanguard Total Stock Market ETF seeks to track the performance of the CRSP US Total Market Index.
GLD,SPDR Gold Shares,STOCK,Financial Services,Exchange Traded Fund,United States,,SPDR Gold Shares is an exchange traded fund designed to track the price of gold bullion.
SLV,iShares Silver Trust,STOCK,Financial Services,Exchange Traded Fund,United States,,iShares Silver Trust is designed to reflect generally the performance of the price of silver.
EEM,iShares MSCI Emerging Markets ETF,STOCK,Financial Services,Exchange Traded Fund,United States,,iShares MSCI Emerging Markets ETF seeks to track the investment results of an index composed of large- and mid-capitalization emerging market equities.
XLF,Financial Select Sector SPDR Fund,STOCK,Financial Services,Exchange Traded Fund,United States,,Financial Select Sector SPDR Fund seeks to provide investment results that correspond generally to the price and yield performance of the Financial Select Sector Index.
XLK,Technology Select Sector SPDR Fund,STOCK,Financial Services,Exchange Traded Fund,United States,,Technology Select Sector SPDR Fund seeks to provide investment results that correspond generally to the price and yield performance of the Technology Select Sector Index.
XLE,Energy Select Sector SPDR Fund,STOCK,Financial Services,Exchange Traded Fund,United States,,Energy Select Sector SPDR Fund seeks to provide investment results that correspond generally to the price and yield performance of the Energy Select Sector Index.
